               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033879,            0.013579,           0.0012437,             0.73093,             0.61406,             0.66942,             0.31696,            0.053634,           0.0087633,           0.0014145,            0.007195,            0.007195,            0.007195
                  36,            0.033129,             0.01325,           0.0011928,             0.71062,              0.6562,             0.68324,             0.34604,            0.051178,           0.0080776,           0.0010566,           0.0071125,           0.0071125,           0.0071125
                  37,            0.033316,            0.013274,           0.0012824,             0.77191,              0.6757,              0.7467,             0.33985,             0.05087,           0.0085929,           0.0030231,             0.00703,             0.00703,             0.00703
                  38,            0.032759,            0.013105,           0.0011549,             0.73206,              0.5957,             0.66364,             0.31999,            0.052562,           0.0090202,           0.0019268,           0.0069475,           0.0069475,           0.0069475
                  39,            0.033294,            0.013098,           0.0012827,             0.71385,             0.62523,             0.67631,             0.32639,            0.053517,           0.0090044,           0.0014037,            0.006865,            0.006865,            0.006865
                  40,            0.033068,            0.013116,           0.0012687,             0.80109,             0.63112,             0.69858,             0.33095,            0.052407,           0.0089188,           0.0012673,           0.0067825,           0.0067825,           0.0067825
                  41,            0.032655,            0.012874,           0.0011623,             0.67338,             0.64333,             0.66423,             0.32379,            0.052146,           0.0086918,           0.0025773,              0.0067,              0.0067,              0.0067
                  42,            0.032339,            0.013061,           0.0012785,             0.75557,             0.63333,             0.67431,             0.32182,            0.053991,           0.0091516,           0.0017265,           0.0066175,           0.0066175,           0.0066175
                  43,            0.032514,            0.012984,           0.0010709,             0.70012,             0.61091,             0.65205,             0.30757,            0.053404,            0.008375,           0.0021227,            0.006535,            0.006535,            0.006535
                  44,            0.031997,            0.012917,           0.0011629,              0.6976,             0.63911,             0.67135,             0.33766,             0.05308,            0.008413,           0.0017841,           0.0064525,           0.0064525,           0.0064525
                  45,            0.031796,            0.012939,           0.0011476,             0.79173,             0.66056,             0.67466,             0.31339,            0.053385,           0.0086749,           0.0014995,             0.00637,             0.00637,             0.00637
                  46,            0.031447,            0.012764,           0.0010785,             0.76441,             0.62444,             0.70496,             0.34068,            0.051176,           0.0088693,           0.0010842,           0.0062875,           0.0062875,           0.0062875
                  47,             0.03127,            0.012722,           0.0010516,               0.798,             0.68058,             0.72322,             0.36032,            0.051753,           0.0085718,           0.0012439,            0.006205,            0.006205,            0.006205
                  48,            0.030853,            0.012474,           0.0010763,             0.82473,             0.60506,             0.70157,             0.33184,            0.050462,           0.0091664,           0.0010546,           0.0061225,           0.0061225,           0.0061225
                  49,            0.031325,             0.01261,           0.0010286,              0.7022,             0.66069,             0.67672,             0.33386,            0.051682,           0.0088544,           0.0026618,             0.00604,             0.00604,             0.00604
                  50,            0.031175,            0.012223,          0.00088257,             0.77717,             0.59753,             0.67377,             0.34329,            0.051673,           0.0087247,           0.0024795,           0.0059575,           0.0059575,           0.0059575
                  51,            0.030906,            0.012515,           0.0011331,             0.73045,             0.65146,             0.69464,             0.33353,            0.051981,           0.0088002,           0.0045299,            0.005875,            0.005875,            0.005875
                  52,             0.03083,            0.012585,          0.00094128,             0.78965,             0.64111,             0.72279,             0.33894,              0.0525,           0.0088247,           0.0043632,           0.0057925,           0.0057925,           0.0057925
                  53,            0.030684,            0.012504,           0.0010121,             0.75016,             0.63787,             0.65478,             0.34538,            0.049943,           0.0090295,           0.0015911,             0.00571,             0.00571,             0.00571
                  54,            0.030215,            0.012253,          0.00084023,              0.7744,             0.64642,             0.68569,             0.32842,             0.05225,           0.0087461,           0.0033169,           0.0056275,           0.0056275,           0.0056275
                  55,            0.030567,            0.012216,          0.00069448,               0.764,             0.64481,             0.68934,             0.34426,            0.051542,           0.0087469,            0.002925,            0.005545,            0.005545,            0.005545
                  56,            0.030017,            0.012266,          0.00097223,             0.81413,             0.66644,              0.7372,             0.36311,            0.049853,            0.008601,           0.0028762,           0.0054625,           0.0054625,           0.0054625
                  57,            0.029902,            0.012214,          0.00094503,             0.75245,             0.63889,             0.66533,             0.33051,            0.052948,           0.0085897,           0.0027088,             0.00538,             0.00538,             0.00538
                  58,            0.029788,            0.012018,          0.00084483,             0.72349,             0.63278,             0.67092,             0.34555,             0.05207,           0.0086354,           0.0020234,           0.0052975,           0.0052975,           0.0052975
                  59,            0.029929,            0.012128,          0.00088023,              0.6877,             0.66138,             0.67901,             0.32802,            0.052536,           0.0089677,           0.0024324,            0.005215,            0.005215,            0.005215
                  60,            0.029607,            0.012219,           0.0010616,             0.79868,             0.67611,             0.72184,             0.33238,            0.052366,           0.0090768,           0.0047431,           0.0051325,           0.0051325,           0.0051325
                  61,            0.029159,            0.012275,          0.00088647,             0.76891,             0.70193,             0.70933,             0.33866,              0.0523,           0.0085832,           0.0030351,             0.00505,             0.00505,             0.00505
                  62,            0.029479,            0.012192,            0.000901,             0.69742,             0.63276,             0.65198,             0.33697,            0.053202,           0.0088099,           0.0028295,           0.0049675,           0.0049675,           0.0049675
                  63,            0.029228,            0.012187,          0.00086528,              0.7634,              0.6498,             0.67627,             0.34793,            0.051871,           0.0087144,           0.0011374,            0.004885,            0.004885,            0.004885
                  64,            0.029168,            0.012033,          0.00087188,               0.768,             0.59444,              0.6609,             0.33158,             0.05192,           0.0090405,           0.0011047,           0.0048025,           0.0048025,           0.0048025
                  65,            0.028978,            0.011867,          0.00085385,             0.78292,             0.58556,             0.66292,             0.33577,            0.052519,           0.0088228,            0.001216,             0.00472,             0.00472,             0.00472
                  66,            0.028982,              0.0119,          0.00086041,             0.76301,             0.60438,             0.66197,             0.32035,            0.053004,           0.0090545,           0.0023089,           0.0046375,           0.0046375,           0.0046375
                  67,            0.028648,            0.011818,          0.00078596,             0.74698,             0.66111,              0.6694,             0.34105,            0.052198,           0.0088269,           0.0022084,            0.004555,            0.004555,            0.004555
                  68,            0.028712,            0.011689,          0.00070716,             0.77534,             0.66059,             0.67747,             0.33058,            0.052749,           0.0092128,           0.0017888,           0.0044725,           0.0044725,           0.0044725
                  69,            0.028337,            0.011804,          0.00098215,             0.71305,             0.62865,             0.66022,             0.33306,            0.052191,           0.0091626,           0.0037842,             0.00439,             0.00439,             0.00439
                  70,            0.028127,             0.01185,          0.00067699,             0.69241,             0.66686,             0.68733,             0.33251,            0.052621,           0.0091317,           0.0018852,           0.0043075,           0.0043075,           0.0043075
                  71,            0.027934,            0.011892,           0.0006804,              0.7376,             0.60444,             0.66243,             0.32638,            0.052741,           0.0094722,           0.0021238,            0.004225,            0.004225,            0.004225
                  72,            0.027716,            0.011636,          0.00054973,             0.71381,                0.61,             0.65629,             0.32018,            0.053144,           0.0091753,           0.0019136,           0.0041425,           0.0041425,           0.0041425
                  73,            0.027506,            0.011505,          0.00078539,             0.76218,             0.63778,             0.68135,             0.33939,            0.051979,            0.008956,            0.001471,             0.00406,             0.00406,             0.00406
                  74,            0.028103,            0.011533,          0.00091456,             0.75792,                0.58,             0.61995,             0.32202,            0.052163,           0.0094706,           0.0016226,           0.0039775,           0.0039775,           0.0039775
                  75,            0.027602,            0.011395,          0.00065958,             0.78735,             0.62167,             0.67369,             0.34766,             0.05311,           0.0090068,           0.0016135,            0.003895,            0.003895,            0.003895
                  76,            0.027701,            0.011549,          0.00067338,             0.76581,             0.59111,              0.6763,             0.34065,            0.051622,            0.008949,           0.0010592,           0.0038125,           0.0038125,           0.0038125
                  77,            0.027818,              0.0114,          0.00071455,             0.69724,             0.65944,             0.69832,             0.34249,            0.051413,           0.0091575,           0.0010568,             0.00373,             0.00373,             0.00373
                  78,            0.026909,            0.011209,          0.00054955,             0.79753,             0.63259,              0.6998,             0.34547,            0.052423,           0.0096442,           0.0010398,           0.0036475,           0.0036475,           0.0036475
                  79,            0.026689,            0.011103,          0.00055089,               0.749,             0.65944,             0.69051,             0.33822,            0.052604,            0.009099,           0.0015958,            0.003565,            0.003565,            0.003565
                  80,             0.02668,            0.011278,          0.00068862,              0.7871,               0.645,             0.71534,             0.34925,            0.051853,           0.0092109,           0.0024231,           0.0034825,           0.0034825,           0.0034825
                  81,            0.027075,            0.011468,          0.00070141,             0.71949,             0.63398,             0.67254,             0.33585,            0.052923,           0.0091505,           0.0017242,              0.0034,              0.0034,              0.0034
                  82,             0.02627,            0.010907,          0.00060209,             0.73205,             0.67722,             0.67293,             0.32601,            0.053142,           0.0090806,           0.0017695,           0.0033175,           0.0033175,           0.0033175
                  83,            0.026722,            0.011071,          0.00063569,             0.76736,             0.66409,             0.70085,             0.35689,            0.051277,           0.0089099,           0.0010195,            0.003235,            0.003235,            0.003235
                  84,            0.026216,            0.011062,          0.00056831,             0.73665,             0.61111,              0.6703,             0.34688,            0.052956,           0.0095056,           0.0022541,           0.0031525,           0.0031525,           0.0031525
                  85,            0.026318,            0.011064,          0.00050212,             0.74382,             0.63833,             0.67353,             0.32938,            0.052843,           0.0094124,           0.0023143,             0.00307,             0.00307,             0.00307
                  86,            0.026478,            0.011015,           0.0005977,             0.79843,             0.59444,             0.67454,             0.34368,             0.05132,           0.0091588,           0.0011446,           0.0029875,           0.0029875,           0.0029875
                  87,            0.026063,            0.010826,          0.00049374,             0.72813,             0.65889,             0.67907,             0.34656,            0.051634,           0.0095488,           0.0015676,            0.002905,            0.002905,            0.002905
                  88,            0.025732,            0.010992,           0.0005238,             0.74567,             0.70333,             0.71644,             0.35694,            0.049795,           0.0092751,           0.0015216,           0.0028225,           0.0028225,           0.0028225
                  89,            0.025468,            0.010953,           0.0005403,             0.81254,             0.60653,             0.69794,             0.34551,            0.050833,            0.009374,           0.0015888,             0.00274,             0.00274,             0.00274
                  90,            0.025432,            0.010804,          0.00060209,             0.77326,             0.61333,              0.6677,             0.33716,            0.050982,           0.0095762,           0.0012835,           0.0026575,           0.0026575,           0.0026575
                  91,            0.025615,            0.010875,          0.00046426,             0.74602,               0.652,             0.65689,             0.33607,            0.051075,           0.0093419,           0.0011586,            0.002575,            0.002575,            0.002575
                  92,            0.025211,            0.010593,          0.00053871,             0.75623,             0.63543,             0.67791,             0.34601,             0.05135,           0.0093101,           0.0010006,           0.0024925,           0.0024925,           0.0024925
                  93,            0.024829,            0.010659,          0.00044772,              0.7644,             0.66739,             0.68653,               0.342,            0.051726,              0.0098,           0.0017345,             0.00241,             0.00241,             0.00241
                  94,            0.025161,            0.010718,          0.00048735,               0.786,             0.62102,              0.6684,             0.33292,             0.05294,           0.0094417,           0.0008695,           0.0023275,           0.0023275,           0.0023275
                  95,            0.024739,            0.010531,          0.00048862,             0.81488,                0.65,             0.69553,             0.34417,            0.052264,           0.0096639,           0.0007431,            0.002245,            0.002245,            0.002245
                  96,             0.02488,            0.010731,          0.00057444,             0.71211,             0.68145,             0.68918,             0.34395,            0.052258,           0.0096254,          0.00057303,           0.0021625,           0.0021625,           0.0021625
                  97,            0.024351,            0.010561,          0.00053146,             0.79503,             0.66621,             0.71325,             0.34121,            0.052121,           0.0094538,          0.00081807,             0.00208,             0.00208,             0.00208
                  98,            0.024268,            0.010414,          0.00040164,             0.72048,             0.67649,             0.68241,             0.34729,            0.052559,           0.0096359,          0.00091119,           0.0019975,           0.0019975,           0.0019975
                  99,            0.024314,            0.010197,          0.00040731,             0.74598,             0.64889,             0.67817,             0.34955,             0.05208,           0.0095132,           0.0006682,            0.001915,            0.001915,            0.001915
                 100,            0.024007,            0.010373,          0.00040406,             0.74148,               0.663,             0.68115,             0.34739,            0.052776,            0.009621,          0.00070284,           0.0018325,           0.0018325,           0.0018325
                 101,            0.024402,            0.010288,          0.00048757,             0.75263,               0.645,             0.67152,             0.35613,            0.051744,           0.0095679,            0.001494,             0.00175,             0.00175,             0.00175
                 102,            0.023953,            0.010346,          0.00052173,             0.75487,             0.65444,             0.67842,              0.3464,            0.051531,           0.0099681,           0.0013527,           0.0016675,           0.0016675,           0.0016675
                 103,            0.023566,            0.010223,          0.00047445,             0.75583,             0.64889,             0.68041,             0.34557,            0.052283,           0.0097806,            0.001515,            0.001585,            0.001585,            0.001585
                 104,             0.02375,            0.010002,          0.00042587,             0.78378,             0.65179,             0.69064,             0.34524,            0.051722,           0.0097437,           0.0011274,           0.0015025,           0.0015025,           0.0015025
                 105,            0.023976,            0.010117,          0.00036149,             0.79578,             0.64821,             0.69283,             0.34888,            0.052225,           0.0095593,          0.00090372,             0.00142,             0.00142,             0.00142
                 106,            0.023278,            0.010097,          0.00046965,             0.77803,             0.67476,             0.70342,             0.35414,            0.051819,           0.0093861,          0.00084338,           0.0013375,           0.0013375,           0.0013375
                 107,            0.023198,            0.010126,          0.00045069,             0.78447,             0.68909,             0.72544,              0.3635,            0.051595,           0.0093495,          0.00084864,            0.001255,            0.001255,            0.001255
                 108,            0.023372,            0.010277,          0.00039415,             0.80705,             0.63645,             0.69783,             0.36099,            0.052009,           0.0095345,           0.0011097,           0.0011725,           0.0011725,           0.0011725
                 109,             0.02276,            0.010258,          0.00044709,             0.74776,                0.66,             0.68904,             0.35531,            0.051847,           0.0096652,           0.0010401,             0.00109,             0.00109,             0.00109
                 110,            0.023016,           0.0099354,          0.00054678,             0.73506,             0.67163,             0.68313,             0.35187,            0.052264,           0.0097952,           0.0015194,           0.0010075,           0.0010075,           0.0010075
                 111,            0.022737,           0.0099596,          0.00046792,             0.76919,              0.6606,             0.69877,             0.35619,            0.052013,           0.0095952,           0.0015653,            0.000925,            0.000925,            0.000925
                 112,             0.02264,           0.0099608,          0.00035864,             0.78807,             0.66561,              0.7031,             0.35605,            0.052381,           0.0098117,           0.0014416,           0.0008425,           0.0008425,           0.0008425
                 113,            0.022539,           0.0099172,          0.00029078,             0.77926,             0.65444,             0.69761,             0.36577,            0.052135,           0.0098886,           0.0013487,             0.00076,             0.00076,             0.00076
                 114,            0.022348,           0.0098276,          0.00029134,             0.76735,             0.63323,             0.68213,             0.36337,            0.052437,            0.009861,           0.0013229,           0.0006775,           0.0006775,           0.0006775
                 115,            0.022469,           0.0098952,          0.00035005,             0.78615,             0.62278,             0.67427,             0.35867,             0.05255,           0.0098562,           0.0014401,            0.000595,            0.000595,            0.000595
                 116,            0.022172,           0.0097973,           0.0003114,             0.80901,               0.652,              0.7022,             0.37116,            0.052077,           0.0098206,           0.0012336,           0.0005125,           0.0005125,           0.0005125
                 117,            0.022099,           0.0097602,          0.00028897,             0.80635,             0.65326,             0.69659,             0.36688,              0.0519,           0.0097574,           0.0011127,             0.00043,             0.00043,             0.00043
                 118,             0.02232,           0.0099311,          0.00031732,             0.80081,             0.65882,              0.6955,             0.36586,            0.051887,           0.0098311,           0.0010667,           0.0003475,           0.0003475,           0.0003475
                 119,            0.022027,           0.0097618,          0.00034695,             0.79093,             0.64535,             0.69071,             0.36446,            0.052118,           0.0099007,           0.0011395,            0.000265,            0.000265,            0.000265
